"class","注音_class","去聲調_class"
"元件專論","ㄩㄢˊㄐㄧㄢˋㄓㄨㄢㄌㄨㄣˋ","ㄩㄢㄐㄧㄢㄓㄨㄢㄌㄨㄣ"
"電路學（一）","ㄉㄧㄢˋㄌㄨˋㄒㄩㄝˊㄧ","ㄉㄧㄢㄌㄨㄒㄩㄝㄧ"
"微積分（二）","ㄨㄟㄐㄧㄈㄣㄦˋ","ㄨㄟㄐㄧㄈㄣㄦ"
"物理學實驗","ㄨˋㄌㄧˇㄒㄩㄝˊㄕˊㄧㄢˋ","ㄨㄌㄧㄒㄩㄝㄕㄧㄢ"
"數位邏輯設計","ㄕㄨˋㄨㄟˋㄌㄨㄛˊㄐㄧˊㄕㄜˋㄐㄧˋ","ㄕㄨㄨㄟㄌㄨㄛㄐㄧㄕㄜㄐㄧ"
"論文研討（二）","ㄌㄨㄣˋㄨㄣˊㄧㄢˊㄊㄠˇㄦˋ","ㄌㄨㄣㄨㄣㄧㄢㄊㄠㄦ"
"電子電路實驗（二）","ㄉㄧㄢˋㄗˇㄉㄧㄢˋㄌㄨˋㄕˊㄧㄢˋㄦˋ","ㄉㄧㄢㄗㄉㄧㄢㄌㄨㄕㄧㄢㄦ"
"工程數學（二）","ㄍㄨㄥㄔㄥˊㄕㄨˋㄒㄩㄝˊㄦˋ","ㄍㄨㄥㄔㄥㄕㄨㄒㄩㄝㄦ"
"電子學（二）","ㄉㄧㄢˋㄗˇㄒㄩㄝˊㄦˋ","ㄉㄧㄢㄗㄒㄩㄝㄦ"
"微處理機原理與實習","ㄨㄟㄔㄨˇㄌㄧˇㄐㄧㄩㄢˊㄌㄧˇㄩˇㄕˊㄒㄧˊ","ㄨㄟㄔㄨㄌㄧㄐㄧㄩㄢㄌㄧㄩㄕㄒㄧ"
"論文研討（四）","ㄌㄨㄣˋㄨㄣˊㄧㄢˊㄊㄠˇㄙˋ","ㄌㄨㄣㄨㄣㄧㄢㄊㄠㄙ"
"物理學","ㄨˋㄌㄧˇㄒㄩㄝˊ","ㄨㄌㄧㄒㄩㄝ"
"論文研討（一）","ㄌㄨㄣˋㄨㄣˊㄧㄢˊㄊㄠˇㄧ","ㄌㄨㄣㄨㄣㄧㄢㄊㄠㄧ"
"電路學（二）","ㄉㄧㄢˋㄌㄨˋㄒㄩㄝˊㄦˋ","ㄉㄧㄢㄌㄨㄒㄩㄝㄦ"
"電磁學（一）","ㄉㄧㄢˋㄘˊㄒㄩㄝˊㄧ","ㄉㄧㄢㄘㄒㄩㄝㄧ"
"電子電路實驗（一）","ㄉㄧㄢˋㄗˇㄉㄧㄢˋㄌㄨˋㄕˊㄧㄢˋㄧ","ㄉㄧㄢㄗㄉㄧㄢㄌㄨㄕㄧㄢㄧ"
"工程數學（一）","ㄍㄨㄥㄔㄥˊㄕㄨˋㄒㄩㄝˊㄧ","ㄍㄨㄥㄔㄥㄕㄨㄒㄩㄝㄧ"
"電子學（一）","ㄉㄧㄢˋㄗˇㄒㄩㄝˊㄧ","ㄉㄧㄢㄗㄒㄩㄝㄧ"
"數位系統設計與實習","ㄕㄨˋㄨㄟˋㄒㄧˋㄊㄨㄥˇㄕㄜˋㄐㄧˋㄩˇㄕˊㄒㄧˊ","ㄕㄨㄨㄟㄒㄧㄊㄨㄥㄕㄜㄐㄧㄩㄕㄒㄧ"
"論文研討（三）","ㄌㄨㄣˋㄨㄣˊㄧㄢˊㄊㄠˇㄙㄢ","ㄌㄨㄣㄨㄣㄧㄢㄊㄠㄙㄢ"
"電子電路實驗（三）","ㄉㄧㄢˋㄗˇㄉㄧㄢˋㄌㄨˋㄕˊㄧㄢˋㄙㄢ","ㄉㄧㄢㄗㄉㄧㄢㄌㄨㄕㄧㄢㄙㄢ"
"資訊應用（二）","ㄗㄒㄩㄣˋㄧㄥㄩㄥˋㄦˋ","ㄗㄒㄩㄣㄧㄥㄩㄥㄦ"
"基本電學","ㄐㄧㄅㄣˇㄉㄧㄢˋㄒㄩㄝˊ","ㄐㄧㄅㄣㄉㄧㄢㄒㄩㄝ"
"CPLD設計","CPLDㄕㄜˋㄐㄧˋ","CPLDㄕㄜㄐㄧ"
"JAVA應用程式設計","JAVAㄧㄥˋㄩㄥˋㄔㄥˊㄕˋㄕㄜˋㄐㄧˋ","JAVAㄧㄥㄩㄥㄔㄥㄕㄕㄜㄐㄧ"
